run,arm,seed,replica_id,log_id,last_write_ms,converged_ms,convergence_ms
5,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,62931.6,63134.1,202.5
5,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,62931.6,63139.5,207.9
6,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,65410.1,65613.3,203.2
6,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,65410.1,65600.5,190.4
6,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,65410.1,65611.4,201.3
6,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,65410.1,65615.1,205.0
6,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,65410.1,65600.9,190.8
7,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,67903.2,68107.3,204.1
7,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,67903.2,68110.3,207.1
7,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,67903.2,68095.1,191.8
7,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,67903.2,68100.0,196.8
7,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,67903.2,68109.8,206.6
8,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,70412.7,70617.5,204.9
8,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,70412.7,70609.2,196.5
8,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,70412.7,70604.3,191.7
8,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,70412.7,70609.9,197.2
8,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,70412.7,70607.1,194.4
9,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,72943.9,73155.3,211.3
9,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,72943.9,73146.0,202.1
9,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,72943.9,73151.2,207.3
9,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,72943.9,73144.1,200.2
9,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,72943.9,73148.1,204.1
10,loaded-http-heavy,20260903,editor-a,ea5511a36da0b5648de5534d748e37a8,75444.3,75654.8,210.5
10,loaded-http-heavy,20260903,editor-b,ea5511a36da0b5648de5534d748e37a8,75444.3,75647.4,203.2
10,loaded-http-heavy,20260903,node-1,ea5511a36da0b5648de5534d748e37a8,75444.3,75653.1,208.8
10,loaded-http-heavy,20260903,node-2,ea5511a36da0b5648de5534d748e37a8,75444.3,75650.0,205.7
10,loaded-http-heavy,20260903,node-3,ea5511a36da0b5648de5534d748e37a8,75444.3,75652.5,208.2
