elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
51,b65ee3528dfd,b65ee3528dfd,1,4,181,185,4,0,4,3,46,65488fc519b186e9c31d8f7e4eecffdf
51,ff57919fded3,ff57919fded3,1,4,181,185,4,0,4,3,46,65488fc519b186e9c31d8f7e4eecffdf
51,413641414fef,413641414fef,1,4,181,185,4,0,4,3,46,65488fc519b186e9c31d8f7e4eecffdf
52,779777a69aa2,779777a69aa2,1,4,185,189,4,0,4,3,48,0406d5659ac089ff3863a49113f81c2c
52,b65ee3528dfd,b65ee3528dfd,1,4,185,189,4,0,4,3,47,0406d5659ac089ff3863a49113f81c2c
52,ff57919fded3,ff57919fded3,1,4,185,189,4,0,4,3,47,0406d5659ac089ff3863a49113f81c2c
52,413641414fef,413641414fef,1,4,185,189,4,0,4,3,47,0406d5659ac089ff3863a49113f81c2c
54,779777a69aa2,779777a69aa2,1,4,189,193,4,0,4,3,49,d60b2b3349f9d6b47451dea1f682a3c0
54,b65ee3528dfd,b65ee3528dfd,1,4,189,193,4,0,4,3,48,d60b2b3349f9d6b47451dea1f682a3c0
54,ff57919fded3,ff57919fded3,1,4,189,193,4,0,4,3,48,d60b2b3349f9d6b47451dea1f682a3c0
54,413641414fef,413641414fef,1,4,189,193,4,0,4,3,48,d60b2b3349f9d6b47451dea1f682a3c0
55,779777a69aa2,779777a69aa2,1,4,193,197,4,0,4,3,50,6dec0a4bf5460df4749d233a9cd7abe2
55,b65ee3528dfd,b65ee3528dfd,1,4,193,197,4,0,4,3,49,46b47875c12528752adbdf6cd350d110
55,ff57919fded3,ff57919fded3,1,4,197,201,4,0,4,3,50,4beacac7028be319dd5e7bc726d89028
55,413641414fef,413641414fef,1,4,197,201,4,0,4,3,50,4beacac7028be319dd5e7bc726d89028
56,779777a69aa2,779777a69aa2,1,4,201,205,4,0,4,3,52,fbb175a8f1618a6ebb79d296c192bba1
56,b65ee3528dfd,b65ee3528dfd,1,4,201,205,4,0,4,3,51,fbb175a8f1618a6ebb79d296c192bba1
56,ff57919fded3,ff57919fded3,1,4,201,205,4,0,4,3,51,fbb175a8f1618a6ebb79d296c192bba1
56,413641414fef,413641414fef,1,4,201,205,4,0,4,3,51,fbb175a8f1618a6ebb79d296c192bba1
57,779777a69aa2,779777a69aa2,1,4,205,209,4,0,4,3,53,1af0073aecd4ab46415dd78651278eb6
57,b65ee3528dfd,b65ee3528dfd,1,4,205,209,4,0,4,3,52,1af0073aecd4ab46415dd78651278eb6
57,ff57919fded3,ff57919fded3,1,4,205,209,4,0,4,3,52,1af0073aecd4ab46415dd78651278eb6
57,413641414fef,413641414fef,1,4,205,209,4,0,4,3,52,1af0073aecd4ab46415dd78651278eb6
58,779777a69aa2,779777a69aa2,1,4,209,213,4,0,4,3,54,9fbf25a0a238ab06f685fdc69c9b1a7c
58,b65ee3528dfd,b65ee3528dfd,1,4,209,213,4,0,4,3,53,9fbf25a0a238ab06f685fdc69c9b1a7c
58,ff57919fded3,ff57919fded3,1,4,209,213,4,0,4,3,53,9fbf25a0a238ab06f685fdc69c9b1a7c
58,413641414fef,413641414fef,1,4,209,213,4,0,4,3,53,9fbf25a0a238ab06f685fdc69c9b1a7c
60,779777a69aa2,779777a69aa2,1,4,213,217,4,0,4,3,55,feb9f6c07e971480ec4f67f02eaddd00
60,b65ee3528dfd,b65ee3528dfd,1,4,213,217,4,0,4,3,54,feb9f6c07e971480ec4f67f02eaddd00
60,ff57919fded3,ff57919fded3,1,4,213,217,4,0,4,3,54,feb9f6c07e971480ec4f67f02eaddd00
60,413641414fef,413641414fef,1,4,213,217,4,0,4,3,54,feb9f6c07e971480ec4f67f02eaddd00
61,779777a69aa2,779777a69aa2,1,4,217,221,4,0,4,3,56,7f0e88d183f4e196f9a25f118dcf56f7
61,b65ee3528dfd,b65ee3528dfd,1,4,217,221,4,0,4,3,55,7f0e88d183f4e196f9a25f118dcf56f7
61,ff57919fded3,ff57919fded3,1,4,217,221,4,0,4,3,55,7f0e88d183f4e196f9a25f118dcf56f7
61,,413641414fef,0,4,,,,,,,,
62,779777a69aa2,779777a69aa2,1,4,218,224,6,0,4,3,57,aabda48af836b702346ee24b9e7368a4
62,b65ee3528dfd,b65ee3528dfd,1,4,218,224,6,0,4,3,56,aabda48af836b702346ee24b9e7368a4
62,ff57919fded3,ff57919fded3,1,4,218,224,6,0,4,3,56,aabda48af836b702346ee24b9e7368a4
62,,413641414fef,0,4,,,,,,,,
63,779777a69aa2,779777a69aa2,1,4,218,227,9,0,4,3,58,aafffe3661c2f4f26f1e5797acb51d8e
63,b65ee3528dfd,b65ee3528dfd,1,4,218,227,9,0,4,3,57,aafffe3661c2f4f26f1e5797acb51d8e
63,ff57919fded3,ff57919fded3,1,4,218,227,9,0,4,3,57,aafffe3661c2f4f26f1e5797acb51d8e
63,,413641414fef,0,4,,,,,,,,
64,779777a69aa2,779777a69aa2,1,4,218,230,12,0,4,3,59,4414779a5da036240809207292c82c0e
64,b65ee3528dfd,b65ee3528dfd,1,4,218,230,12,0,4,3,58,4414779a5da036240809207292c82c0e
64,ff57919fded3,ff57919fded3,1,4,218,230,12,0,4,3,58,4414779a5da036240809207292c82c0e
64,,413641414fef,0,4,,,,,,,,
65,779777a69aa2,779777a69aa2,1,4,218,233,15,0,4,3,60,bbe1ed0b9ad0dc9b838b15ba7cbbb66e
