elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
55,33b44baa950d,33b44baa950d,1,4,196,200,4,0,4,3,50,1823f5a5c52bb8472de237039f110b0f
55,f5d6495eab40,f5d6495eab40,1,4,196,200,4,0,4,3,50,1823f5a5c52bb8472de237039f110b0f
57,3e42fdfd9872,3e42fdfd9872,1,4,200,204,4,0,4,3,51,7ec18cbe503a4757fde521cfb788e927
57,c511bb7c0632,c511bb7c0632,1,4,201,207,6,0,4,3,52,254608fc2b5c9366219b060cd7bd4700
57,33b44baa950d,33b44baa950d,1,4,204,208,4,0,4,3,52,254608fc2b5c9366219b060cd7bd4700
57,f5d6495eab40,f5d6495eab40,1,4,204,208,4,0,4,3,52,254608fc2b5c9366219b060cd7bd4700
58,3e42fdfd9872,3e42fdfd9872,1,4,208,212,4,0,4,3,53,75656965c503ca2f0dec916e9f21aac7
58,c511bb7c0632,c511bb7c0632,1,4,208,212,4,0,4,3,53,75656965c503ca2f0dec916e9f21aac7
58,33b44baa950d,33b44baa950d,1,4,208,212,4,0,4,3,53,75656965c503ca2f0dec916e9f21aac7
58,f5d6495eab40,f5d6495eab40,1,4,208,212,4,0,4,3,53,75656965c503ca2f0dec916e9f21aac7
59,3e42fdfd9872,3e42fdfd9872,1,4,212,216,4,0,4,3,54,c25ed5483762c5f229a43e34fa5eecfa
59,c511bb7c0632,c511bb7c0632,1,4,212,216,4,0,4,3,54,c25ed5483762c5f229a43e34fa5eecfa
59,33b44baa950d,33b44baa950d,1,4,212,216,4,0,4,3,54,c25ed5483762c5f229a43e34fa5eecfa
59,f5d6495eab40,f5d6495eab40,1,4,212,216,4,0,4,3,54,c25ed5483762c5f229a43e34fa5eecfa
60,3e42fdfd9872,3e42fdfd9872,1,4,216,220,4,0,4,3,55,16c272c134d208799c64fba3fdb0b3bd
60,c511bb7c0632,c511bb7c0632,1,4,216,220,4,0,4,3,55,16c272c134d208799c64fba3fdb0b3bd
60,33b44baa950d,33b44baa950d,1,4,216,220,4,0,4,3,55,16c272c134d208799c64fba3fdb0b3bd
60,f5d6495eab40,f5d6495eab40,1,4,216,220,4,0,4,3,55,16c272c134d208799c64fba3fdb0b3bd
61,3e42fdfd9872,3e42fdfd9872,1,4,220,224,4,0,4,3,56,07c65b6121df7ea4f4fa83b6bb0b027a
61,c511bb7c0632,c511bb7c0632,1,4,220,224,4,0,4,3,56,07c65b6121df7ea4f4fa83b6bb0b027a
61,33b44baa950d,33b44baa950d,1,4,220,224,4,0,4,3,56,07c65b6121df7ea4f4fa83b6bb0b027a
61,f5d6495eab40,f5d6495eab40,1,4,220,224,4,0,4,3,56,07c65b6121df7ea4f4fa83b6bb0b027a
62,3e42fdfd9872,3e42fdfd9872,1,4,224,228,4,0,4,3,57,b9f69c89824aee14983c02842804686f
62,c511bb7c0632,c511bb7c0632,1,4,224,228,4,0,4,3,57,b9f69c89824aee14983c02842804686f
62,33b44baa950d,33b44baa950d,1,4,224,228,4,0,4,3,57,b9f69c89824aee14983c02842804686f
62,f5d6495eab40,f5d6495eab40,1,4,224,228,4,0,4,3,57,b9f69c89824aee14983c02842804686f
63,3e42fdfd9872,3e42fdfd9872,1,4,228,232,4,0,4,3,58,73bffcaf4d9822b0f2e74db609e626b4
63,c511bb7c0632,c511bb7c0632,1,4,228,232,4,0,4,3,58,73bffcaf4d9822b0f2e74db609e626b4
63,33b44baa950d,33b44baa950d,1,4,228,232,4,0,4,3,58,73bffcaf4d9822b0f2e74db609e626b4
63,f5d6495eab40,f5d6495eab40,1,4,228,232,4,0,4,3,58,73bffcaf4d9822b0f2e74db609e626b4
65,3e42fdfd9872,3e42fdfd9872,1,4,232,236,4,0,4,3,59,f903448387b826908a79a93a4b41f8b4
65,c511bb7c0632,c511bb7c0632,1,4,232,236,4,0,4,3,59,f903448387b826908a79a93a4b41f8b4
65,33b44baa950d,33b44baa950d,1,4,232,236,4,0,4,3,59,f903448387b826908a79a93a4b41f8b4
65,f5d6495eab40,f5d6495eab40,1,4,232,236,4,0,4,3,59,f903448387b826908a79a93a4b41f8b4
66,3e42fdfd9872,3e42fdfd9872,1,4,236,240,4,0,4,3,60,276421044a7353cba25659d838a739e8
66,c511bb7c0632,c511bb7c0632,1,4,236,240,4,0,4,3,60,276421044a7353cba25659d838a739e8
66,33b44baa950d,33b44baa950d,1,4,236,240,4,0,4,3,60,276421044a7353cba25659d838a739e8
66,f5d6495eab40,f5d6495eab40,1,4,236,240,4,0,4,3,60,276421044a7353cba25659d838a739e8
67,3e42fdfd9872,3e42fdfd9872,1,4,240,244,4,0,4,3,61,86cb80204794fbf9c034f303a0627270
67,c511bb7c0632,c511bb7c0632,1,4,240,244,4,0,4,3,61,86cb80204794fbf9c034f303a0627270
67,33b44baa950d,33b44baa950d,1,4,240,244,4,0,4,3,61,86cb80204794fbf9c034f303a0627270
67,f5d6495eab40,f5d6495eab40,1,4,240,244,4,0,4,3,61,86cb80204794fbf9c034f303a0627270
68,3e42fdfd9872,3e42fdfd9872,1,4,244,248,4,0,4,3,62,71a6f4f7f9878a0ad83ce44200d2468f
68,c511bb7c0632,c511bb7c0632,1,4,245,251,6,0,4,3,63,42c8ca83e6da62fe57d22246c78b7068
68,33b44baa950d,33b44baa950d,1,4,248,252,4,0,4,3,63,42c8ca83e6da62fe57d22246c78b7068
68,f5d6495eab40,f5d6495eab40,1,4,248,252,4,0,4,3,63,42c8ca83e6da62fe57d22246c78b7068
69,3e42fdfd9872,3e42fdfd9872,1,4,252,256,4,0,4,3,64,016ac7ff399adb55cbc8dca17d58c135
69,c511bb7c0632,c511bb7c0632,1,4,252,256,4,0,4,3,64,016ac7ff399adb55cbc8dca17d58c135
69,33b44baa950d,33b44baa950d,1,4,252,256,4,0,4,3,64,016ac7ff399adb55cbc8dca17d58c135
69,f5d6495eab40,f5d6495eab40,1,4,252,256,4,0,4,3,64,016ac7ff399adb55cbc8dca17d58c135
70,3e42fdfd9872,3e42fdfd9872,1,4,256,260,4,0,4,3,65,b2a0186a54928618a9f4310b980eec05
70,c511bb7c0632,c511bb7c0632,1,4,256,260,4,0,4,3,65,b2a0186a54928618a9f4310b980eec05
70,33b44baa950d,33b44baa950d,1,4,256,260,4,0,4,3,65,b2a0186a54928618a9f4310b980eec05
70,f5d6495eab40,f5d6495eab40,1,4,256,260,4,0,4,3,65,b2a0186a54928618a9f4310b980eec05
72,3e42fdfd9872,3e42fdfd9872,1,4,260,264,4,0,4,3,66,89a88552a9f76428285a37eb86b0f6e8
72,c511bb7c0632,c511bb7c0632,1,4,260,264,4,0,4,3,66,89a88552a9f76428285a37eb86b0f6e8
72,33b44baa950d,33b44baa950d,1,4,260,264,4,0,4,3,66,89a88552a9f76428285a37eb86b0f6e8
72,f5d6495eab40,f5d6495eab40,1,4,260,264,4,0,4,3,66,89a88552a9f76428285a37eb86b0f6e8
73,3e42fdfd9872,3e42fdfd9872,1,4,264,268,4,0,4,3,67,06236f993a2895be8c072cbdb1ded44d
73,c511bb7c0632,c511bb7c0632,1,4,264,268,4,0,4,3,67,06236f993a2895be8c072cbdb1ded44d
73,33b44baa950d,33b44baa950d,1,4,264,268,4,0,4,3,67,06236f993a2895be8c072cbdb1ded44d
73,f5d6495eab40,f5d6495eab40,1,4,264,268,4,0,4,3,67,06236f993a2895be8c072cbdb1ded44d
74,3e42fdfd9872,3e42fdfd9872,1,4,268,272,4,0,4,3,68,7f89008a8ea340b7332b36701dbd8707
74,c511bb7c0632,c511bb7c0632,1,4,268,272,4,0,4,3,68,7f89008a8ea340b7332b36701dbd8707
74,33b44baa950d,33b44baa950d,1,4,268,272,4,0,4,3,68,7f89008a8ea340b7332b36701dbd8707
74,f5d6495eab40,f5d6495eab40,1,4,268,272,4,0,4,3,68,7f89008a8ea340b7332b36701dbd8707
75,3e42fdfd9872,3e42fdfd9872,1,4,272,276,4,0,4,3,69,c50f5bd8e12e66fb88eea922b42bf3c4
75,c511bb7c0632,c511bb7c0632,1,4,272,276,4,0,4,3,69,c50f5bd8e12e66fb88eea922b42bf3c4
75,33b44baa950d,33b44baa950d,1,4,272,276,4,0,4,3,69,c50f5bd8e12e66fb88eea922b42bf3c4
75,f5d6495eab40,f5d6495eab40,1,4,272,276,4,0,4,3,69,c50f5bd8e12e66fb88eea922b42bf3c4
76,3e42fdfd9872,3e42fdfd9872,1,4,276,280,4,0,4,3,70,6b2c7483d58fda46ecbfc35b267d10b2
76,c511bb7c0632,c511bb7c0632,1,4,276,280,4,0,4,3,70,6b2c7483d58fda46ecbfc35b267d10b2
76,33b44baa950d,33b44baa950d,1,4,276,280,4,0,4,3,70,6b2c7483d58fda46ecbfc35b267d10b2
76,f5d6495eab40,f5d6495eab40,1,4,276,280,4,0,4,3,70,6b2c7483d58fda46ecbfc35b267d10b2
78,3e42fdfd9872,3e42fdfd9872,1,4,280,284,4,0,4,3,71,4a0e38c0bfc11f961a3848cf4e89589c
78,c511bb7c0632,c511bb7c0632,1,4,281,287,6,0,4,3,72,001819c9df2b622d40c136e0423ab038
78,33b44baa950d,33b44baa950d,1,4,284,288,4,0,4,3,72,001819c9df2b622d40c136e0423ab038
78,f5d6495eab40,f5d6495eab40,1,4,284,288,4,0,4,3,72,001819c9df2b622d40c136e0423ab038
79,3e42fdfd9872,3e42fdfd9872,1,4,288,292,4,0,4,3,73,18ed370462f20d48f8de6d10f6865319
79,c511bb7c0632,c511bb7c0632,1,4,288,292,4,0,4,3,73,18ed370462f20d48f8de6d10f6865319
79,33b44baa950d,33b44baa950d,1,4,288,292,4,0,4,3,73,18ed370462f20d48f8de6d10f6865319
79,f5d6495eab40,f5d6495eab40,1,4,288,292,4,0,4,3,73,18ed370462f20d48f8de6d10f6865319
80,3e42fdfd9872,3e42fdfd9872,1,4,292,296,4,0,4,3,74,27635951c301f7bc67cb986998d0803c
80,c511bb7c0632,c511bb7c0632,1,4,292,296,4,0,4,3,74,27635951c301f7bc67cb986998d0803c
80,33b44baa950d,33b44baa950d,1,4,292,296,4,0,4,3,74,27635951c301f7bc67cb986998d0803c
80,f5d6495eab40,f5d6495eab40,1,4,292,296,4,0,4,3,74,27635951c301f7bc67cb986998d0803c
81,3e42fdfd9872,3e42fdfd9872,1,4,296,300,4,0,4,3,75,d06a2b10cdcfec81c8c7bdddad2157ce
81,c511bb7c0632,c511bb7c0632,1,4,296,300,4,0,4,3,75,d06a2b10cdcfec81c8c7bdddad2157ce
81,33b44baa950d,33b44baa950d,1,4,296,300,4,0,4,3,75,d06a2b10cdcfec81c8c7bdddad2157ce
81,f5d6495eab40,f5d6495eab40,1,4,296,300,4,0,4,3,75,d06a2b10cdcfec81c8c7bdddad2157ce
82,3e42fdfd9872,3e42fdfd9872,1,4,300,304,4,0,4,3,76,f52aecf2844bac808dbd0be1de5fec29
82,c511bb7c0632,c511bb7c0632,1,4,300,304,4,0,4,3,76,f52aecf2844bac808dbd0be1de5fec29
